wall,ls,paper_ls,drift_target,drift_reached,reached_ok,theta_base_opt_mrad,theta_base_modelA_mrad,theta_base_modelB_mrad,sh_frac_opt,sh_frac_modelA,sh_frac_modelB,u_top_opt_mm,disp_tp_mm
PUP5,0,1,-0.0,-1.24521916409313e-07,True,0.020739579279708115,0.00036788873572586627,-4.7153705700738e-06,0.4571370242102043,0.6961479381667867,0.07568151580109754,-0.05220708222812009,-0.0
PUP5,1,2,-0.00034,-1.24521916409313e-07,True,0.023906111301618342,0.00036788873572586627,-4.7153705700738e-06,0.33136519150959315,0.6961479381667867,0.07568151580109754,-0.04889862068963757,-0.00747
PUP5,2,3,0.02492,0.02482981913563712,True,0.21810804485850357,0.1795135798750547,0.17515040570752036,0.6579990536588947,0.6276186981089628,0.6362661768349263,-0.5571678514588834,0.55295
PUP5,3,4,-0.0249,-0.02458422715315752,True,-0.17234867337062007,-0.17700409614430773,-0.173425553403637,0.7283901073411587,0.6316617444730768,0.6454378457844412,0.44978484084882797,-0.55246
PUP5,4,5,0.02527,0.02482981913563712,True,0.219071645045419,0.1795135798750547,0.17515040570752036,0.662727058958789,0.6276186981089628,0.6362661768349263,-0.5645124668434899,0.56074
PUP5,5,6,-0.02489,-0.02458422715315751,True,-0.17356130303477205,-0.17700409614430773,-0.173425553403637,0.7022100634957485,0.6316617444730768,0.6454378457844412,0.44971061007958757,-0.55238
PUP5,6,7,0.04739,0.047229297323154056,True,0.38848333936114815,0.34602829277652536,0.3390067082482831,0.6938183722651096,0.6275496278718871,0.6393756963184679,-1.0128001591511724,1.05147
PUP5,7,8,-0.04903,-0.048973627626020325,True,-0.35791817284391925,-0.3601912011732103,-0.3541381198769463,0.6872922677937309,0.6412979113709214,0.6533376587533508,0.9396194562334307,-1.08798
PUP5,8,9,0.04714,0.04671781562625779,True,0.38589272971263805,0.34407678778697554,0.3374965654112002,0.6973592648120133,0.6278814364939804,0.641134811586659,-1.0078105437665479,1.04596
PUP5,9,10,-0.04828,-0.04785124032069432,True,-0.35038307839311034,-0.3539704006387382,-0.34846818065545804,0.8639245063418082,0.6409686932690563,0.6551607915568163,0.925345610079593,-1.07139
PUP5,10,11,0.0927,0.09245502085191223,True,0.725914322347147,0.7371606415152527,0.729294620876652,0.539620479366419,0.5661772925239679,0.6081657957355702,-1.9422813129973546,2.05705
PUP5,11,12,-0.09601,-0.0959514613509064,True,-0.7557399357029354,-0.7845345502888595,-0.7792122188178295,0.9653191633332571,0.6088557348241193,0.7344150521498777,1.9002871485411421,-2.1305
